Proportional_Gain,Integral_Gain,Days_In_Band_%,Avg_Price,Std_Price,Max_Excursion
1.05,0.255,6.56,0.954747836126908,0.5462845639822188,2.3298772769826246
1.05,0.01,4.04,1.0454136157144462,1.2317576252836921,6.493015510544809
0.1,0.5,2.5,0.2834218178279533,0.4927373617203381,1.2480179572097412
0.575,0.01,2.44,0.21338435549199117,0.3169615297487129,0.99
2.0,0.5,2.4,0.4081688965135061,0.46548006091194816,1.6150537605065427
0.1,0.255,2.28,2.1086361584579345,4.199629080234432,23.28035911324406
1.05,0.5,2.28,0.19615606087181553,0.3593174888150026,1.0887892715260086
1.525,0.5,2.16,4.488826111918395,5.270835697924132,33.55895425226596
2.0,0.01,2.16,0.6934323330978089,0.9753085156092215,4.105284989927505
0.575,0.3775,2.06,0.23072154479736517,0.33983071363669165,0.99
0.575,0.1325,1.58,2.848901812405432,5.758066439519349,47.73564644173372
0.575,0.255,1.44,0.43828781044504306,0.6153617657470191,2.892292468526165
0.575,0.5,1.42,0.35227709374258126,0.32220393652807633,0.9800285008988896
1.05,0.3775,1.4,0.467911489605142,0.7088480799763918,3.3856581183225973
0.1,0.01,1.34,0.2762221057294123,0.48614666214556257,2.3158452182638323
1.525,0.1325,1.26,0.12849298686321817,0.23593729587405035,0.99
1.525,0.01,1.04,0.2780149590837351,0.25109789469598315,0.99
0.1,0.1325,0.92,0.09429057224786558,0.1720907387059975,0.99
1.525,0.255,0.52,0.0928871996240547,0.15311537473815218,0.99
2.0,0.3775,0.48,0.45332597713931516,0.5821633929481067,2.344405455683586
2.0,0.1325,0.32,0.10075336109299117,0.12159496064600887,0.99
0.1,0.3775,0.3,0.09545777942561112,0.12716092106352664,0.99
1.525,0.3775,0.18,0.11084724898319034,0.14999305607214367,0.99
1.05,0.1325,0.06,0.10697189227602194,0.1523631625632088,0.99
2.0,0.255,0.04,0.08828175484807786,0.12954573240377618,0.99
